Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Mexico,Mexico,1961,Earths,0.007094834720190669,0.14562151995193573,0.1197725379458875,0.005462137462492954,0.09346498849016258,0.21936307479499736,0.5907790933656669,3A,MX
Mexico,Mexico,1962,Earths,0.007305522564640521,0.1411032565629146,0.11482783393949979,0.005931270598971377,0.09652174267605991,0.2111052304149054,0.5767948567569922,3A,MX
Mexico,Mexico,1963,Earths,0.00798099909139467,0.1520882805370167,0.1263767748724103,0.006945537311334686,0.09843028961576113,0.21215652393089907,0.6039784053588181,3A,MX
Mexico,Mexico,1964,Earths,0.009571167402031388,0.1711242591484855,0.1410772919781618,0.0070659844502563825,0.0999922551675014,0.21839720422719308,0.6472281623736281,3A,MX
Mexico,Mexico,1965,Earths,0.010069262751593573,0.17319043622936903,0.13643372780470708,0.0074429491665457,0.10158369448350706,0.21424871059112405,0.6429687810268456,3A,MX
Mexico,Mexico,1966,Earths,0.011097725802883743,0.18424712506654625,0.15010377009977138,0.008006869792401599,0.0998714653974317,0.20648821356063493,0.6598151697196696,3A,MX
Mexico,Mexico,1967,Earths,0.01114293299354597,0.20415760882285874,0.14173491666278204,0.009277081707395279,0.10370755570221785,0.20688510393860826,0.6769051998274087,3A,MX
Mexico,Mexico,1968,Earths,0.012077671292138718,0.2115398877945262,0.15396734949814941,0.009552926993019217,0.10380939490283382,0.19894166167449318,0.6898888921551615,3A,MX
Mexico,Mexico,1969,Earths,0.012047223591374522,0.22945646537526013,0.14601648861056812,0.00943402694487226,0.10590449516391374,0.1927805239924718,0.6956392236784598,3A,MX
Mexico,Mexico,1970,Earths,0.013930982478094241,0.2583212956244339,0.173487453892114,0.009631319855331777,0.11177960542814604,0.18937825845285053,0.7565289157309725,3A,MX
Mexico,Mexico,1971,Earths,0.013574836629028338,0.28171243783042793,0.16126994566255393,0.011391163646734022,0.10490777377396183,0.1886365129995878,0.761492670542293,3A,MX
Mexico,Mexico,1972,Earths,0.01353199975025226,0.3185447161697798,0.15747699665877737,0.012045774684703862,0.10600762879836478,0.18331538068376718,0.7909224967456442,3A,MX
Mexico,Mexico,1973,Earths,0.014512813573601851,0.35764793468508316,0.17409508820949623,0.013705000406571945,0.10683219275747541,0.18416734605408594,0.8509603756863153,3A,MX
Mexico,Mexico,1974,Earths,0.01495354906648533,0.3821344360032035,0.18999002617231833,0.012866949608158594,0.1146187102146182,0.19071726296003286,0.9052809340248159,3A,MX
Mexico,Mexico,1975,Earths,0.015690394914770683,0.38719591565589934,0.19045597116877985,0.014162028889539111,0.11475501353806153,0.1925016303053037,0.9147609544723535,3A,MX
Mexico,Mexico,1976,Earths,0.014531721978382402,0.4037227781939294,0.15552866155868672,0.013340615062109252,0.11618763314501268,0.1859592932914931,0.8892707032296134,3A,MX
Mexico,Mexico,1977,Earths,0.016378373458251404,0.4145835141725414,0.18497527093231472,0.013290666457233513,0.11893603003391062,0.18140324286619797,0.9295670979204523,3A,MX
Mexico,Mexico,1978,Earths,0.017687672020184942,0.447006984328384,0.19425399234361482,0.017397223888734555,0.10257900191271546,0.1729431419900636,0.9518680164836979,3A,MX
Mexico,Mexico,1979,Earths,0.016440970018832636,0.48393297627411413,0.17759022193281537,0.02087009119119802,0.10797543589727263,0.18113408102596573,0.9879437763401968,3A,MX
Mexico,Mexico,1980,Earths,0.01918572061861246,0.5539920291543948,0.24272490297209426,0.02455755837212156,0.1163390363382026,0.1873787909945996,1.144178038450024,3A,MX
Mexico,Mexico,1981,Earths,0.020996459958179916,0.5855475270495473,0.2637978599240357,0.034554832665218076,0.11427169339770404,0.18566392754698613,1.2048323005416686,3A,MX
Mexico,Mexico,1982,Earths,0.018742125996980254,0.5480878769349858,0.21691840119756006,0.025197964461457962,0.11386684729632814,0.17890818462467117,1.1017214005119838,3A,MX
Mexico,Mexico,1983,Earths,0.021397253256582694,0.486921362728215,0.26411249179653445,0.01988467055204274,0.11336598849601337,0.17968854087432148,1.0853703077037113,3A,MX
Mexico,Mexico,1984,Earths,0.020739191884372715,0.5042746461832003,0.2494566675316773,0.02777640790499927,0.11222203102374223,0.17916228442258503,1.0936312289505787,3A,MX
Mexico,Mexico,1985,Earths,0.02297406458857426,0.5361639192007035,0.26081574119288164,0.027097619043955325,0.1150556132455712,0.18006894882445212,1.142175906096137,3A,MX
Mexico,Mexico,1986,Earths,0.021827594846154538,0.500940706325656,0.2228822438642009,0.027391492829201187,0.11470799196251197,0.17052580459371863,1.058275834421443,3A,MX
Mexico,Mexico,1987,Earths,0.02262424371580983,0.5136904744198457,0.2419737153477459,0.028608009049250576,0.11706844276713203,0.16969309277691133,1.093657978076694,3A,MX
Mexico,Mexico,1988,Earths,0.020393048613247994,0.5447544541038887,0.23940090242690987,0.03396177885593944,0.11905649119253571,0.18259561307196082,1.1401622882644828,3A,MX
Mexico,Mexico,1989,Earths,0.018814147245012458,0.5746622023416496,0.23836138058332212,0.03753980664242693,0.11949521740901993,0.1820639616549573,1.1709367158763864,3A,MX
Mexico,Mexico,1990,Earths,0.02111466200886143,0.5807631319176236,0.27867928619496435,0.03987616353629785,0.11775234402011654,0.17509739518744713,1.2132829828653076,3A,MX
Mexico,Mexico,1991,Earths,0.019671712538621742,0.6325795051832332,0.2671962682957296,0.03724683739720224,0.12016460836583352,0.18632308885393878,1.2631820206345563,3A,MX
Mexico,Mexico,1992,Earths,0.01825097823704621,0.631219826911052,0.2721994576837628,0.03638426590203042,0.12157545663361165,0.18867262177229782,1.2683026071397983,3A,MX
Mexico,Mexico,1993,Earths,0.01935924690344842,0.6580277182546883,0.27657383440808847,0.03645382788673178,0.12872815066223878,0.1808233889297262,1.2999661670449205,3A,MX
Mexico,Mexico,1994,Earths,0.020018645430355333,0.7391980940503111,0.2871757818592433,0.039178253842424446,0.12771838626728146,0.1838126066836768,1.3971017681332942,3A,MX
Mexico,Mexico,1995,Earths,0.0204842477488405,0.6959489488477955,0.25598756651052174,0.04122319054672155,0.12922582827936854,0.1621089689228269,1.3049787508560746,3A,MX
Mexico,Mexico,1996,Earths,0.022545811526280057,0.8529212854459123,0.30483942663859664,0.046456463729579026,0.1219176551100795,0.17611423378825763,1.5247948762387062,3A,MX
Mexico,Mexico,1997,Earths,0.021260465272964713,0.8656630448895102,0.2862249031343356,0.04952099154127284,0.12827537810407386,0.18837506258016717,1.5393198455223271,3A,MX
Mexico,Mexico,1998,Earths,0.022045546739708502,0.8657394980015337,0.3238763431016385,0.03748226508630077,0.13666074793155306,0.1960963150485974,1.5819007159093346,3A,MX
Mexico,Mexico,1999,Earths,0.0213232910520284,1.3766881456880695,0.32614342161784615,0.04139369869314914,0.14832649394221314,0.1964227490067743,2.110297800000085,3A,MX
Mexico,Mexico,2000,Earths,0.02139846981259013,0.8102648411507749,0.33513399866831667,0.040273648221718285,0.16008012520741338,0.20024165528321305,1.5673927383440258,3A,MX
Mexico,Mexico,2001,Earths,0.023333293383983687,1.0521684228615247,0.3584551004013314,0.04137414194486873,0.14623300699733593,0.20025619943349116,1.8218201650225347,3A,MX
Mexico,Mexico,2002,Earths,0.022884905578080827,0.9033176835290254,0.3676873657852723,0.045629460579220286,0.1461497517668543,0.20712479462210337,1.692793961860558,3A,MX
Mexico,Mexico,2003,Earths,0.02414705682450515,0.7638759010327549,0.37102941980551846,0.04112825884045358,0.1549314083826071,0.1910906615840999,1.5462027064699373,3A,MX
Mexico,Mexico,2004,Earths,0.023717879615423904,0.5862191961356379,0.3521688463865591,0.0445597059717913,0.16514321198874685,0.18111844787471706,1.3529272879728775,3A,MX
Mexico,Mexico,2005,Earths,0.021652173260741283,0.8931158452257775,0.3357767849465776,0.04586147202099311,0.16763600951652108,0.18388680267644772,1.6479290876470596,3A,MX
Mexico,Mexico,2006,Earths,0.024341857730197373,0.9509827095013076,0.36259995061629435,0.04137216878725843,0.1839423797848405,0.18284952270398627,1.7460885891238833,3A,MX
Mexico,Mexico,2007,Earths,0.02429514062626721,0.9990423019477636,0.3500002274104204,0.04494049726674273,0.18966911858336913,0.18635455881765278,1.794301844652214,3A,MX
Mexico,Mexico,2008,Earths,0.025512133789547302,1.0632317240634246,0.3271891918808904,0.0429935588211727,0.17767755855971498,0.18114114152831107,1.8177453086430617,3A,MX
Mexico,Mexico,2009,Earths,0.024174957154258644,1.0196936802252878,0.3016798898647066,0.04031769226473744,0.14859200468789346,0.17246127695035793,1.706919501147242,3A,MX
Mexico,Mexico,2010,Earths,0.02754565680579617,1.2091428367200898,0.32434750694369613,0.04163229241893039,0.15532154310409038,0.16211384978840418,1.9201036857810097,3A,MX
Mexico,Mexico,2011,Earths,0.023768923286117665,1.0079227330325113,0.2952299580498669,0.035223502857617814,0.15334239791565699,0.14983421253557241,1.6653217276773427,3A,MX
Mexico,Mexico,2012,Earths,0.02979593974692482,1.1018840617809718,0.3235291205807446,0.03662367852768011,0.1567985745092978,0.14529931372857796,1.7939306888741993,3A,MX
Mexico,Mexico,2013,Earths,0.02952507877479578,0.9648250812792747,0.29786101557748584,0.043590802555677134,0.15786403715019912,0.15085184309983546,1.6445178584372688,3A,MX
Mexico,Mexico,2014,Earths,0.032402472150708336,0.8314918724036946,0.3088962406302112,0.04891594819401667,0.1572429009009154,0.1475516043150227,1.5265010385945736,3A,MX
Mexico,Mexico,2015,Earths,0.028291204815979756,0.831237297293412,0.3038810117887233,0.0518221131508772,0.15887795013003697,0.1468152312740437,1.520924808453072,3A,MX
Mexico,Mexico,2016,Earths,0.02853341829651649,0.8236575355611518,0.32110996162406125,0.0524313140840512,0.16362147945444105,0.14818582350103984,1.5375395325212644,3A,MX
Mexico,Mexico,2017,Earths,0.027009254723103757,0.7898188962298521,0.32764522955716546,0.05338935739005144,0.17231720688705407,0.14591611326154957,1.516096058048778,3A,MX
Mexico,Mexico,2018,Earths,0.027147362812537344,0.7768583335650068,0.33167074102869953,0.05213544786995153,0.1739856265716576,0.1435899541491628,1.505387465997014,3A,MX
