Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antigua y Barbuda,ATG,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,
Australia,AUS,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78290.00,77300.00,76410.00,76130.00,75920.00,75710.00,69970.00,68920.00,73340.00,90300.00,98360.00,108700.00,101530.00,61260.00,85030.00,62220.00,81720.00,76870.00,61400.00,65130.00,54100.00,107160.00,106510.00,62980.00,75330.00,71810.00,57330.00,79460.00,76800.00,60870.00,,
Austria,AUT,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4970.00,4990.00,4780.00,4710.00,4670.00,4650.00,4760.00,4690.00,4700.00,4700.00,4660.00,4550.00,4470.00,4480.00,3930.00,3970.00,3960.00,3870.00,4000.00,3770.00,3780.00,3780.00,3830.00,3850.00,3930.00,3950.00,3960.00,3890.00,3830.00,3850.00,,
Azerbaiyán,AZE,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2980.00,3000.00,2640.00,2410.00,2270.00,2260.00,2170.00,2280.00,2310.00,2360.00,2390.00,2580.00,2700.00,2790.00,2930.00,3000.00,3140.00,3150.00,3350.00,3390.00,3360.00,3460.00,3570.00,3620.00,3710.00,4100.00,4050.00,3960.00,4260.00,4130.00,,
Burundi,BDI,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.00,1040.00,1050.00,1040.00,990.00,1030.00,1020.00,1040.00,1110.00,1140.00,1150.00,1160.00,1150.00,1160.00,1200.00,1220.00,1270.00,1290.00,1340.00,1400.00,1490.00,1560.00,1600.00,1750.00,1760.00,1740.00,1880.00,2100.00,2160.00,2030.00,,
Bélgica,BEL,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8170.00,8100.00,7730.00,7950.00,8450.00,8830.00,9320.00,9020.00,9110.00,9050.00,7680.00,7470.00,7960.00,7200.00,7280.00,7160.00,6150.00,5520.00,5480.00,5680.00,6190.00,4940.00,4950.00,4840.00,4820.00,4780.00,4620.00,4570.00,4590.00,4580.00,,
Benin,BEN,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630.00,1690.00,1720.00,1740.00,1850.00,1790.00,2090.00,2180.00,2280.00,2230.00,2380.00,1940.00,2260.00,2030.00,1950.00,2340.00,2140.00,2220.00,2010.00,2120.00,2150.00,2210.00,2260.00,2380.00,2380.00,2340.00,2560.00,2470.00,2840.00,2720.00,,
Burkina Faso,BFA,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4730.00,4940.00,5040.00,5120.00,5380.00,5500.00,5450.00,5700.00,5770.00,5910.00,6390.00,5860.00,6220.00,7540.00,7740.00,8030.00,7850.00,7990.00,8150.00,8340.00,8720.00,8710.00,8790.00,9080.00,9150.00,9240.00,9750.00,9790.00,9910.00,10120.00,,
Bangladesh,BGD,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16430.00,17220.00,17530.00,17920.00,18570.00,19850.00,20380.00,19910.00,19950.00,21190.00,21360.00,21840.00,22420.00,21960.00,22100.00,22880.00,23910.00,24000.00,26090.00,25590.00,26150.00,27200.00,26600.00,26760.00,27680.00,28360.00,27420.00,28580.00,29330.00,28920.00,,
Bulgaria,BGR,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8240.00,7050.00,5230.00,4530.00,4570.00,4340.00,4430.00,4140.00,3570.00,3320.00,3710.00,3920.00,4330.00,4440.00,4340.00,3960.00,3230.00,3590.00,3810.00,3790.00,3720.00,4360.00,3450.00,3780.00,3850.00,4030.00,4050.00,4120.00,4130.00,4160.00,,
