Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antigua y Barbuda,ATG,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.00,370.00,450.00,420.00,430.00,450.00,480.00,510.00,560.00,580.00,600.00,640.00,700.00,740.00,750.00,780.00,850.00,910.00,960.00,1920.00,1030.00,1090.00,1260.00,1050.00,1060.00,1090.00,1120.00,1150.00,1190.00,1220.00,,
Australia,AUS,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487000.00,486989.99,487649.99,489810.00,495780.00,503549.99,500980.01,507310.00,536320.01,572760.01,596960.02,624780.03,619280.03,539310.00,597429.99,560380.00,603109.99,606469.97,578950.01,593599.98,566440.00,668340.03,667440.00,580880.00,597270.02,596979.98,574450.01,623270.02,617390.01,585979.98,,
Austria,AUT,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76610.00,80890.00,75070.00,75000.00,75070.00,77550.00,81330.00,80280.00,80280.00,78470.00,78650.00,83000.00,84330.00,89450.00,90270.00,90350.00,88100.00,85060.00,84620.00,77710.00,83510.00,81530.00,78330.00,78870.00,75150.00,76340.00,76730.00,78650.00,75440.00,76920.00,,
Azerbaiyán,AZE,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75680.00,73240.00,82320.00,61690.00,42370.00,41480.00,35910.00,35410.00,35790.00,36010.00,37740.00,37190.00,37250.00,39940.00,40080.00,42870.00,44720.00,43290.00,47650.00,43130.00,42020.00,44840.00,48050.00,49260.00,50620.00,50520.00,50860.00,50240.00,51690.00,54800.00,,
Burundi,BDI,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.00,1870.00,1860.00,1840.00,1740.00,1800.00,1800.00,1850.00,1880.00,1930.00,1990.00,1960.00,1950.00,1940.00,2000.00,2060.00,2200.00,2280.00,2400.00,2550.00,2880.00,3120.00,3200.00,3600.00,3590.00,3620.00,4000.00,4620.00,4870.00,4560.00,,
Bélgica,BEL,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130770.00,135690.00,133730.00,131539.99,136890.00,137060.00,142410.00,139230.00,141990.01,138140.00,138250.00,138679.99,131360.00,134750.00,133300.00,129550.00,126550.00,121890.00,124140.00,117170.00,124740.00,113130.00,111910.00,112890.00,106510.00,111430.00,110380.00,108310.00,109060.00,108060.00,,
Benin,BEN,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4180.00,4290.00,4370.00,4420.00,4680.00,4480.00,5830.00,6300.00,6530.00,6540.00,7030.00,6500.00,7530.00,7500.00,7590.00,8620.00,8910.00,9650.00,9400.00,10030.00,10480.00,10550.00,10530.00,11160.00,11700.00,12120.00,13820.00,13970.00,15090.00,15020.00,,
Burkina Faso,BFA,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11990.00,12430.00,12720.00,12970.00,13420.00,13810.00,13840.00,14470.00,14690.00,15010.00,16130.00,15390.00,16090.00,19540.00,20080.00,20710.00,20680.00,21310.00,22210.00,22900.00,24490.00,24990.00,25700.00,26650.00,27150.00,28040.00,29420.00,30360.00,31150.00,32210.00,,
Bangladesh,BGD,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94240.00,94450.00,96600.00,98050.00,100670.00,105830.00,106380.00,108650.00,108690.00,112940.00,115460.00,120440.00,124200.00,126100.00,128190.00,133110.00,138890.00,142170.00,150850.01,155000.00,163179.99,168960.01,172840.00,176780.00,181850.01,192179.99,193960.01,203080.00,208000.00,215940.00,,
Bulgaria,BGR,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98220.00,81230.00,75410.00,73970.00,70020.00,71240.00,71800.00,68720.00,65140.00,58330.00,57760.00,60140.00,57450.00,62320.00,61070.00,61060.00,61010.00,65180.00,62810.00,55320.00,56960.00,62840.00,57110.00,51960.00,54540.00,57260.00,54190.00,56430.00,53230.00,51280.00,,
