Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,AUS,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,1825.63,1947.15,2012.66,2211.69,2417.21,2625.22,2765.08,2969.49,3102.01,3329.61,3609.98,3751.64,3880.93,4230.34,4578.88,4781.62,4901.59,5251.20,5416.28,5665.98,5915.26,6153.35,6391.29,6366.13,6699.56,7007.62,7309.09,7525.69,7800.53,8129.10,8527.23,8522.16,8550.33,8701.76,8812.49,8994.36,9108.30,9291.08,9783.44,10036.46,10193.91,10636.38,10813.12,10434.87,10554.82,10458.45,10490.48,10972.89,10749.11,10791.59,10726.93,10627.29,10407.74,10220.89,10071.40,,,,,,,
Austria,AUT,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,1814.68,1882.22,2006.77,2124.36,2232.90,2305.36,2375.01,2448.69,2608.62,2814.65,3019.12,3213.13,3404.47,3620.56,3769.03,3734.45,4068.19,4137.71,4335.05,4541.54,4684.46,4697.37,4730.57,4827.48,5071.00,5280.78,5321.41,5536.14,5716.83,5896.14,6111.48,6347.22,6227.50,6137.27,6205.80,6344.39,6607.22,6620.45,6706.71,6972.19,7076.27,7333.23,7427.66,7695.08,7808.16,7977.68,8244.40,8207.47,8233.01,7944.80,8382.71,8425.17,8548.88,8509.61,8355.84,,,,,,,
Azerbaiyán,AZE,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2569.82,2631.03,2276.06,2119.74,1961.94,1952.02,1852.89,1813.67,1936.94,2022.49,2040.48,2106.47,1996.71,2235.46,2281.95,2388.39,2552.29,2118.21,2040.76,1620.39,1603.43,1705.42,2052.65,2092.54,2202.39,,,,,,,
Burundi,BDI,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bélgica,BEL,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,1576.34,1627.51,1753.14,1880.99,2062.99,2163.96,2255.19,2357.58,2596.18,2830.59,3031.52,3217.05,3612.36,3941.60,4134.39,3887.48,4247.41,4404.82,4623.39,4906.09,4893.89,4910.95,4904.07,5043.98,5285.54,5502.67,5617.42,5876.96,6057.06,6205.76,6380.31,6655.41,6850.66,6881.07,7176.24,7379.74,7527.69,7701.61,7913.06,7944.13,8247.68,8267.19,8311.89,8411.90,8576.22,8510.00,8683.67,8614.68,8521.50,7903.96,8393.95,8028.80,7988.52,7989.67,7709.12,,,,,,,
Benin,BEN,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,10.75,11.83,18.63,16.94,18.07,19.42,21.26,46.26,24.87,27.71,31.94,17.57,36.63,32.48,33.42,31.10,30.87,36.17,33.82,34.95,36.70,38.82,39.12,39.38,41.83,44.47,47.92,44.82,51.92,58.11,61.47,68.26,64.62,70.32,73.79,75.09,79.72,86.35,87.87,95.44,91.54,93.12,96.76,100.23,,,,,,,
Burkina Faso,BFA,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,10.83,10.66,15.41,17.14,17.28,17.60,18.61,21.88,21.42,19.11,22.83,25.83,29.45,32.43,33.50,37.93,39.40,42.51,50.59,49.78,50.42,60.41,67.19,71.08,78.23,81.94,83.75,88.81,97.16,104.61,115.14,122.99,129.39,165.31,176.08,196.94,206.10,207.53,226.05,247.26,265.64,283.47,301.97,320.21,,,,,,,
Bulgaria,BGR,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,2292.65,2486.07,2683.11,2842.23,3035.64,3247.55,3437.80,3648.39,3772.29,3973.69,4125.35,4397.89,4582.13,4772.29,4678.29,4646.26,4838.62,4940.52,4963.18,4758.73,4361.14,3735.53,3807.70,3825.39,4211.13,4350.44,3970.13,3932.40,3613.37,3673.61,3859.09,3853.82,3997.90,3971.82,4165.18,4366.91,4523.32,4674.50,4483.75,4560.41,4863.69,4761.91,4639.71,4708.93,,,,,,,
Bahrein,BHR,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,1951.79,1963.77,2087.45,2282.58,2626.25,3171.85,3661.32,3746.89,4299.83,4612.43,4848.71,5205.30,5589.59,15305.73,15926.45,16450.66,14702.18,15363.35,15402.81,15621.25,14214.48,18498.06,21644.42,20477.08,20553.56,20597.55,21105.11,21251.53,20638.14,20014.75,20130.46,20016.60,19775.06,18983.04,21325.82,21508.25,20592.24,18491.09,17459.65,18038.24,17912.57,17849.26,18693.12,19596.98,,,,,,,
Bahamas,BHS,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia y Herzegovina,BIH,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2937.66,2106.05,1111.33,707.78,893.94,959.25,1126.34,1384.61,1774.61,1834.45,2030.30,2068.43,2092.10,2233.55,2321.88,2389.70,2384.59,2382.54,2986.47,2891.64,3155.60,3343.74,3479.08,3474.29,3446.76,,,,,,,
Belarús,BLR,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380.75,4426.01,3912.70,3450.22,3068.36,2790.02,2806.62,2952.92,3015.40,3005.36,2996.31,3009.40,3000.75,3063.06,3174.05,3245.37,3365.98,3393.91,3481.74,3299.46,3566.17,3632.88,3704.31,3657.12,3690.10,,,,,,,
Belice,BLZ,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermudas,BMU,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,165.88,174.06,173.84,181.71,189.55,199.67,216.32,227.50,237.26,253.41,266.10,265.03,254.18,252.56,245.01,235.06,233.59,245.73,257.84,266.14,280.54,290.05,312.60,332.81,351.60,369.83,388.29,405.10,418.19,415.88,416.65,429.95,437.24,447.13,476.59,506.95,538.69,527.80,546.60,596.50,629.01,654.48,695.95,742.54,,,,,,,
Brasil,BRA,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,459.89,499.04,554.63,604.98,651.50,722.08,790.22,860.30,941.70,1016.65,1021.55,1055.95,1111.75,1208.62,1283.05,1354.50,1368.11,1419.63,1449.93,1460.76,1486.22,1494.06,1537.59,1566.76,1634.40,1687.09,1762.41,1808.34,1832.38,1897.35,1747.94,1806.67,1882.26,1956.16,2015.80,2072.36,2167.61,2229.85,2197.13,2374.12,2430.80,2501.47,2568.83,2619.96,,,,,,,
Barbados,BRB,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,1754.23,1675.88,1582.32,1541.25,1478.64,1421.16,1367.93,1318.98,1274.01,1691.77,2264.69,2635.10,3079.13,3290.92,3265.91,3217.61,4192.54,4283.87,4298.96,4325.24,4473.95,4819.49,5268.31,5579.51,6384.80,6828.18,7622.72,7755.34,7375.53,7545.79,7181.57,7373.61,8550.93,8596.85,8463.16,8431.87,8614.09,8589.47,8840.80,8810.35,8783.63,9240.67,9873.55,10290.94,,,,,,,
Bhután,BTN,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,586.84,627.30,625.42,640.85,663.81,753.41,846.82,719.12,729.62,769.38,852.73,925.53,922.01,963.00,935.90,962.30,1028.94,1096.57,1073.74,1155.58,1225.31,1274.76,1362.44,1480.01,1464.64,1494.08,1535.09,1542.57,1739.96,1561.06,1503.42,1756.27,2126.49,1815.55,,,,,,,
República Centroafricana,CAF,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadá,CAN,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,5630.63,5605.11,5791.12,5966.04,6468.93,6909.90,7359.09,7630.17,8030.42,8532.91,8962.20,9166.68,9803.56,10241.92,10804.60,10466.58,11075.95,11797.26,12269.02,12422.76,12803.98,13239.41,12981.08,13457.07,14343.39,14857.26,15363.40,15798.29,16389.34,16464.04,319.50,314.80,318.20,325.30,333.30,334.10,337.50,337.50,332.90,339.50,346.20,337.50,334.90,349.20,354.60,355.90,357.60,353.80,341.20,324.50,321.10,324.90,324.10,327.00,332.40,328.20,336.60,346.70,346.70,340.40,316.90,
Europa Central y del Báltico,CEB,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,2088.95,2243.54,2389.99,2522.68,2683.05,2848.03,2984.66,3124.95,3161.27,3307.32,3279.08,3320.05,3436.83,3562.91,3646.65,3762.25,3867.98,3934.08,3948.03,3744.05,3469.59,3217.34,3148.03,3172.22,3299.39,3426.02,3383.43,3337.02,3281.61,3341.73,3430.73,3454.64,3588.32,3676.63,3739.65,3888.53,3984.59,4048.77,3840.54,4017.41,4096.89,4093.46,4075.34,4115.63,,,,,,,
Suiza,CHE,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,3075.55,3225.99,3278.01,3351.45,3454.52,3586.29,3653.43,3749.63,3852.19,4022.73,4306.51,4615.35,4776.27,5010.19,5027.12,4878.81,5082.90,5324.96,5520.45,5779.14,5992.33,6119.70,6189.34,6330.49,6601.04,6854.33,6994.49,7163.21,7203.89,7369.29,7445.29,7538.41,7430.30,7235.09,7155.49,7283.38,7393.54,7341.61,7481.43,7646.71,7845.63,7992.28,8031.43,8195.12,8205.83,8305.37,8360.58,8163.30,8305.92,8021.22,8174.41,7928.19,7886.09,7807.06,7520.17,,,,,,,
Islas del Canal,CHI,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,761.26,787.83,757.85,800.57,731.19,768.72,793.85,834.06,876.42,902.77,919.10,887.35,906.45,966.87,988.15,1028.14,1054.42,1121.52,1208.77,1237.63,1313.94,1457.09,1514.74,1588.69,1745.37,1926.53,2069.36,2176.96,2392.96,2499.29,2628.69,2727.87,2897.79,3064.44,3095.65,3222.41,3339.46,3338.29,3296.54,3306.95,3583.58,3807.51,3879.86,3879.67,,,,,,,
China,CHN,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,151.99,163.91,175.93,174.23,199.04,204.03,220.66,246.56,267.37,281.62,285.82,299.20,317.02,336.41,362.81,391.35,426.55,461.80,487.37,510.62,548.95,604.69,662.64,727.11,770.28,821.08,852.74,870.62,913.96,992.94,1076.55,1194.86,1379.48,1585.84,1782.31,2039.01,2325.93,2446.37,2612.46,2943.59,3295.78,3466.02,3757.19,3905.32,,,,,,,
Côte d'Ivoire,CIV,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,97.02,104.20,114.53,117.13,126.01,139.56,148.58,161.63,198.80,182.86,188.95,186.54,177.91,131.90,151.14,151.64,170.59,174.95,160.75,160.42,148.43,153.05,144.22,146.48,176.34,161.61,172.03,186.99,175.83,173.99,182.22,176.65,174.38,173.40,171.67,181.71,187.10,195.66,200.51,215.02,196.92,234.79,233.16,274.73,,,,,,,
Camerún,CMR,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,152.32,155.52,152.99,169.58,174.87,165.96,155.05,155.77,155.04,156.12,198.35,221.12,213.61,204.66,223.72,208.46,207.62,209.74,210.31,199.06,192.29,188.81,191.00,167.26,160.07,165.63,175.40,172.44,177.40,175.26,165.17,155.03,167.13,192.36,186.43,245.67,253.76,267.13,264.93,261.49,256.33,247.43,252.20,275.20,,,,,,,
Congo República Democrática del,COD,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,162.27,158.80,167.35,169.28,167.22,161.84,158.36,148.38,142.93,150.92,135.65,130.35,138.04,141.35,148.15,150.67,145.84,145.88,169.49,130.88,125.49,115.23,102.59,101.31,108.88,104.85,95.40,93.40,95.17,96.57,95.54,89.73,90.21,88.19,89.46,101.77,105.25,101.21,106.79,104.66,108.02,112.18,117.03,108.52,,,,,,,
Congo República del,COG,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,56.37,57.59,62.82,63.67,66.38,68.88,70.59,72.14,75.86,83.24,69.92,104.52,99.46,149.22,112.93,176.11,179.61,168.05,170.07,173.97,184.95,177.51,160.55,144.36,151.43,154.35,129.04,110.79,69.11,95.61,104.73,115.39,114.77,105.40,117.31,125.76,125.38,135.36,144.74,140.16,147.67,214.62,213.08,202.87,,,,,,,
Colombia,COL,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,414.79,400.37,432.71,472.33,454.34,469.44,512.90,568.17,607.30,637.27,634.26,659.35,664.06,720.36,755.20,809.32,785.12,804.62,851.48,871.59,871.19,778.70,872.81,910.29,920.47,911.09,917.75,894.27,827.73,845.60,865.91,873.26,876.41,912.18,909.22,961.04,988.58,988.45,1065.61,1094.56,1139.66,1170.07,1310.66,1312.20,,,,,,,
Comoras,COM,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,605.46,651.69,676.03,718.82,731.07,766.52,797.96,849.91,858.39,931.39,963.11,933.68,918.62,989.78,1007.41,1077.13,1144.94,1142.55,1076.66,1071.99,1121.77,1405.44,1332.92,1267.48,1281.33,1249.88,1359.79,1313.39,1435.36,1506.93,1485.84,1558.43,1643.59,1679.46,1721.15,1822.84,1885.52,1889.04,1845.05,1887.98,1885.35,1942.83,1939.85,1942.49,,,,,,,
Estados pequeos del Caribe,CSS,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2770.44,2810.82,2865.72,3093.10,3066.88,3222.69,3253.87,3088.80,2666.77,2705.25,2831.14,2918.49,2883.98,2973.71,3062.98,,,,,,,
Cuba,CUB,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,505.86,514.99,547.24,571.40,622.67,670.49,720.70,787.53,862.44,840.05,963.04,1006.81,1051.27,1116.37,1002.78,1073.56,1091.32,1147.39,1185.27,1212.33,1048.86,904.49,840.18,898.47,919.34,974.47,1040.24,1045.41,1080.50,1137.92,1157.85,1185.12,1193.41,1175.34,1155.08,1227.22,1302.45,1323.40,1334.76,1303.15,1332.51,1379.22,1435.56,1450.88,,,,,,,
Curacao,CUW,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,4091.21,4312.50,4478.87,4576.98,4640.28,4665.36,4623.34,4725.60,4815.66,4877.03,4857.73,4950.00,4961.66,4574.17,4230.21,3438.97,3829.50,3939.59,4253.52,4663.00,4771.37,5162.88,5537.11,5883.98,6090.71,6301.86,6280.79,6769.48,7000.03,7291.20,7222.17,7283.00,7521.02,7571.24,7613.07,7243.04,7323.54,7149.71,7423.40,7471.27,7379.12,5062.86,4934.27,4797.67,,,,,,,
Islas Caimán,CYM,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipre,CYP,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,990.56,1133.75,1218.70,1043.09,1029.62,1139.12,1217.09,1284.81,1358.80,1415.22,1436.51,1536.76,1655.44,1684.07,1766.39,1872.71,1950.55,2091.04,2295.47,2430.16,2481.10,2837.84,3004.58,3058.16,2784.69,2816.50,2866.95,3097.80,3178.02,3373.31,3455.26,3703.29,3918.23,3946.91,4099.62,4238.13,4377.14,4554.50,4577.04,4585.59,4239.73,4035.08,3587.83,3624.93,,,,,,,
República Checa,CZE,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,3424.20,3595.80,3729.99,3860.36,4031.27,4173.44,4292.93,4499.96,4392.39,4585.12,4639.73,4675.60,4812.16,4959.82,5141.67,5259.31,5447.31,5504.92,5576.93,5600.41,5256.30,5077.66,5032.40,5186.97,5470.67,5729.39,5660.06,5604.81,5493.85,5703.82,5892.17,5894.23,6074.85,6230.40,6357.42,6528.53,6518.22,6489.13,6139.35,6348.42,6298.73,6304.57,6284.79,6258.89,,,,,,,
Alemania,DEU,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,1586.75,1683.41,1790.69,1916.93,2060.55,2194.21,2300.50,2362.91,2579.75,2815.22,3834.18,4064.45,4335.77,4654.99,4803.42,4743.94,5146.93,5285.26,5574.75,5786.13,5797.50,5832.06,5822.03,5965.46,6239.97,6448.54,6530.24,6666.22,6776.31,6835.33,6639.73,6564.80,6445.87,6288.42,6244.96,6327.71,6403.33,6427.80,6479.49,6505.13,6635.42,6762.65,6900.78,7009.73,7108.96,7138.22,7212.44,7229.09,7187.76,6817.16,7264.32,7281.27,7270.15,7217.53,7035.48,,,,,,,
Djibouti,DJI,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinamarca,DNK,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,1089.61,1192.41,1355.93,1497.92,1624.50,1818.65,1984.42,2128.49,2339.21,2620.48,2893.22,3059.36,3346.83,3428.21,3245.99,3414.52,3793.72,3999.67,4314.45,4541.90,4599.23,4590.00,4678.95,4739.65,4979.64,5351.13,5618.55,5794.39,5858.06,5853.96,5944.83,6217.34,6236.26,6306.87,6539.54,6424.54,6646.69,6607.20,6504.26,6508.51,6482.49,6490.09,6533.75,6602.64,6615.57,6659.00,6824.75,6668.39,6534.12,6219.70,6327.51,6165.97,6038.55,6039.43,5858.80,,,,,,,
República Dominicana,DOM,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,327.84,308.70,400.25,364.77,402.75,381.56,421.64,409.60,471.63,441.25,443.07,328.13,366.15,444.58,476.78,484.92,478.76,381.30,335.53,391.25,401.35,544.66,512.82,531.12,501.71,639.53,643.21,1101.23,1280.79,1327.77,1288.23,1390.38,1365.26,1128.54,1234.66,1330.23,1359.05,1377.87,1325.71,1394.83,1428.07,1499.36,1551.72,1615.51,,,,,,,
Argelia,DZA,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,133.87,142.88,158.75,170.66,195.69,220.07,233.12,278.97,314.57,330.30,363.44,406.05,417.50,441.29,466.49,485.27,455.41,481.89,522.14,531.58,532.49,559.78,547.99,550.97,559.92,570.52,575.70,618.49,652.80,683.29,709.09,730.81,786.41,804.11,890.63,862.43,894.28,947.29,866.31,1016.64,1123.33,1237.97,1278.92,1362.87,,,,,,,
